Spawns
75113	Henly_Nictropus	Town Crier	75113	11545	1	100	18185
75139	Toryn_Roltaire		9145	11551	1	100	18191

Mercjhant Lists
'75078', 'Dannis_Faleet', 'Bracelet Mold', '75078', '1', '37799', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Oval Cut Pendant Jewelry Mold', '75078', '28', '95821', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Oval Cut Ring Jewelry Mold', '75078', '29', '95807', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Pear Cut Earring Jewelry Mold', '75078', '30', '95817', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Pear Cut Pendant Jewelry Mold', '75078', '31', '95824', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Pear Cut Ring Jewelry Mold', '75078', '32', '95810', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Pendant Mold', '75078', '34', '37801', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Platinum Embossing', '75078', '36', '35959', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Ring Mold', '75078', '37', '37798', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Round Cut Earring Jewelry Mold', '75078', '38', '95813', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Round Cut Pendant Jewelry Mold', '75078', '39', '95820', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Round Cut Ring Jewelry Mold', '75078', '40', '95806', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Small Gem Glue Solvent', '75078', '47', '37956', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Solo Setting Tool', '75078', '48', '37803', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Square Cut Earring Jewelry Mold', '75078', '49', '95812', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Square Cut Pendant Jewelry Mold', '75078', '50', '95819', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Square Cut Ring Jewelry Mold', '75078', '51', '95805', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Square Cut Tool', '75078', '52', '95826', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'The Basics of Jewelcrafting', '75078', '54', '36439', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Trilion Cut Earring Jewelry Mold', '75078', '55', '95816', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Trilion Cut Pendant Jewelry Mold', '75078', '56', '95823', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Trilion Cut Ring Jewelry Mold', '75078', '57', '95809', '-1100', '0', '0', '65535', '100', '0', '99'
'75078', 'Dannis_Faleet', 'Veil Mold', '75078', '58', '37802', '-1100', '0', '0', '65535', '100', '0', '99'

'75108', 'Dovan_Sires', 'Black Ceremonial Coffin', '75108', '16', '28880', '-1100', '0', '0', '65535', '100', '0', '99'

'75066', 'Erelin_Verisue', 'Blessed Water of Cazic-Thule', '75066', '21', '81823', '-1100', '0', '0', '65535', '100', '0', '99'

'75097', 'Evus_Doracmal', 'Advanced Formed Potion Vial Sketch', '75097', '28', '96903', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Advanced Friable Potion Vial Sketch', '75097', '19', '96894', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Advanced Shaped Potion Vial Sketch', '75097', '25', '96900', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Advanced Worked Potion Vial Sketch', '75097', '22', '96897', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Formed Potion Vial Sketch', '75097', '27', '96902', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Formed Rune Sketch', '75097', '31', '96906', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Friable Potion Vial Sketch', '75097', '18', '96893', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Gem Powder', '75097', '29', '96904', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Rune Sketch', '75097', '30', '96905', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Simple Formed Potion Vial Sketch', '75097', '26', '96901', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Simple Friable Potion Vial Sketch', '75097', '17', '96892', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Simple Shaped Potion Vial Sketch', '75097', '23', '96898', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Simple Worked Potion Vial Sketch', '75097', '20', '96895', '-1100', '0', '0', '65535', '100', '0', '99'
'75097', 'Evus_Doracmal', 'Worked Potion Vial Sketch', '75097', '21', '96896', '-1100', '0', '0', '65535', '100', '0', '99'

'75046', 'Faratain', 'Anthracite Coal', '75046', '1', '34478', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Bituminous Coal', '75046', '2', '34479', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Black Nitrous Coal', '75046', '3', '34475', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Block of Titanium', '75046', '4', '38350', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Breastplate Template Mold', '75046', '5', '34537', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Brimstone Coal', '75046', '6', '34480', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Brown Coal', '75046', '7', '34470', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Brown Nitrous Coal', '75046', '8', '34473', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Arms Template Pattern', '75046', '9', '34529', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Belt Template Pattern', '75046', '10', '34528', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Boots Template Pattern', '75046', '11', '34533', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Bracer Template Pattern', '75046', '12', '34530', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Chestguard Template Pattern', '75046', '13', '34525', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Cloak Template Pattern', '75046', '14', '34527', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Coif Template Pattern', '75046', '15', '34522', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Collar Template Pattern', '75046', '16', '34524', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Faceguard Template Pattern', '75046', '17', '34523', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Gloves Template Pattern', '75046', '18', '34531', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Legplates Template Pattern', '75046', '19', '34532', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Chainmail Spaulders Template Pattern', '75046', '20', '34526', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Compacted Backpack', '75046', '21', '81692', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Crude Coal', '75046', '22', '34467', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Crude Titanium', '75046', '23', '34366', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Dark Brown Coal', '75046', '24', '34474', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Ductile Titanium', '75046', '25', '34414', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Dull Black Coal', '75046', '26', '34472', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Erud Smithy Hammer', '75046', '27', '81669', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Fair Titanium', '75046', '28', '34382', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Huge Block of Clay', '75046', '29', '38340', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Huge Block of Good Quality Red Clay', '75046', '30', '38342', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Huge Block of High Quality Red Clay', '75046', '31', '38343', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Huge Block of Red Clay', '75046', '32', '38341', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Huge Block of Superb Red Clay', '75046', '33', '38344', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Indurate Titanium', '75046', '34', '34446', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Large Brick of Titanium', '75046', '35', '38349', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Lustrous Black Coal', '75046', '36', '34476', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Malleable Titanium', '75046', '37', '34398', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Metal Tempering Chemicals', '75046', '38', '34546', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Natural Coal', '75046', '39', '34468', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Nitrous Coal', '75046', '40', '34471', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Ossified Titanium', '75046', '41', '34430', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Belt Template Mold', '75046', '42', '34540', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Boot Template Mold', '75046', '43', '34545', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Bracer Template Mold', '75046', '44', '34542', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Cloak Template Mold', '75046', '45', '34539', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Gauntlet Template Mold', '75046', '46', '34543', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Gorget Template Mold', '75046', '49', '34536', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Greaves Template Mold', '75046', '50', '34544', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Helm Template Mold', '75046', '51', '34534', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Pauldron Template Mold', '75046', '52', '34538', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Vambrace Template Mold', '75046', '53', '34541', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Plate Visor Template Mold', '75046', '54', '34535', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Refractory Titanium', '75046', '56', '34462', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Small Brick of Titanium', '75046', '57', '38348', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Sulfurous Coal', '75046', '66', '34469', '-1100', '0', '0', '65535', '100', '0', '99'
'75046', 'Faratain', 'Toluene Coal', '75046', '67', '34477', '-1100', '0', '0', '65535', '100', '0', '99'

'75104', 'Iva_Tersala', 'Delivered Note', '75104', '4', '18142', '-1100', '0', '0', '65535', '100', '0', '99'

'75067', 'Lillean_Han_Oni', 'Buckler', '75067', '1', '9001', '-1100', '0', '0', '65535', '100', '0', '99'
'75067', 'Lillean_Han_Oni', 'Parrying Dagger', '75067', '2', '9008', '-1100', '0', '0', '65535', '100', '0', '99'

'75084', 'Nedorl_Ipabrun', 'Tiny Jade Inlaid Coffin', '75084', '17', '9962', '-1100', '0', '0', '65535', '100', '0', '99'

'75102', 'Pardas_Nalue', 'Gold Thread', '75102', '13', '12096', '-1100', '0', '0', '65535', '100', '0', '99'
'75102', 'Pardas_Nalue', 'On Terrorantula Silk', '75102', '14', '18300', '-1100', '0', '0', '65535', '100', '0', '99'
'75102', 'Pardas_Nalue', 'Platinum Thread', '75102', '15', '12097', '-1100', '0', '0', '65535', '100', '0', '99'
'75102', 'Pardas_Nalue', 'Silver Thread', '75102', '16', '12095', '-1100', '0', '0', '65535', '100', '0', '99'

'75098', 'Taria_Clayspinner', 'Advanced Formed Potion Vial Sketch', '75098', '28', '96903', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Advanced Friable Potion Vial Sketch', '75098', '19', '96894', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Advanced Shaped Potion Vial Sketch', '75098', '25', '96900', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Advanced Worked Potion Vial Sketch', '75098', '22', '96897', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Formed Potion Vial Sketch', '75098', '27', '96902', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Formed Rune Sketch', '75098', '31', '96906', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Friable Potion Vial Sketch', '75098', '18', '96893', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Gem Powder', '75098', '29', '96904', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Glass Shard', '75098', '5', '16903', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Rune Sketch', '75098', '30', '96905', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Shaped Potion Vial Sketch', '75098', '24', '96899', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Simple Formed Potion Vial Sketch', '75098', '26', '96901', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Simple Friable Potion Vial Sketch', '75098', '17', '96892', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Simple Shaped Potion Vial Sketch', '75098', '23', '96898', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Simple Worked Potion Vial Sketch', '75098', '20', '96895', '-1100', '0', '0', '65535', '100', '0', '99'
'75098', 'Taria_Clayspinner', 'Worked Potion Vial Sketch', '75098', '21', '96896', '-1100', '0', '0', '65535', '100', '0', '99'

'75096', 'Tentus_Brackmar', 'Advanced Formed Potion Vial Sketch', '75096', '1', '96903', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Advanced Friable Potion Vial Sketch', '75096', '2', '96894', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Advanced Shaped Potion Vial Sketch', '75096', '3', '96900', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Advanced Worked Potion Vial Sketch', '75096', '4', '96897', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Formed Potion Vial Sketch', '75096', '6', '96902', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Formed Rune Sketch', '75096', '7', '96906', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Friable Potion Vial Sketch', '75096', '8', '96893', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Gem Powder', '75096', '9', '96904', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Rune Sketch', '75096', '12', '96905', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Shaped Potion Vial Sketch', '75096', '13', '96899', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Simple Formed Potion Vial Sketch', '75096', '15', '96901', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Simple Friable Potion Vial Sketch', '75096', '16', '96892', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Simple Shaped Potion Vial Sketch', '75096', '17', '96898', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Simple Worked Potion Vial Sketch', '75096', '18', '96895', '-1100', '0', '0', '65535', '100', '0', '99'
'75096', 'Tentus_Brackmar', 'Worked Potion Vial Sketch', '75096', '22', '96896', '-1100', '0', '0', '65535', '100', '0', '99'

'75101', 'Winnla_Crestus', 'Book Binding', '75101', '24', '45923', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Cloth Cord', '75101', '1', '1007', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Compacted Backpack', '75101', '26', '81692', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Erud Smithy Hammer', '75101', '25', '81669', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Large Bottle of Ink', '75101', '15', '38334', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Large Spool of Titanium Thread', '75101', '22', '38370', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Mead', '75101', '13', '13008', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Reel of Titanium Thread', '75101', '23', '38371', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Roll of Good Quality Vellum', '75101', '18', '38337', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Roll of High Quality Vellum', '75101', '19', '38338', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Roll of Plain Parchment', '75101', '16', '38335', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Roll of Superb Vellum', '75101', '20', '38339', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Roll of Vellum', '75101', '17', '38336', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Short Ale', '75101', '14', '13018', '-1100', '0', '0', '65535', '100', '0', '99'
'75101', 'Winnla_Crestus', 'Small Spool of Titanium Thread', '75101', '21', '38369', '-1100', '0', '0', '65535', '100', '0', '99'

'75081', 'Yvonne_Ani', 'Letters of Jonas Vol. 6', '75081', '13', '18550', '-1100', '0', '0', '65535', '100', '0', '99'
