Spawns
41021	Lynsalai_T`Nyal	Town Crier	41021	3118	1	100	2740
41003	Mignar_Mi`Draskch	Wizard Spells	41003	3136	1	100	2722
41092	Treven_Ru`Soe	Smithing Supplies	41092	5786	1	100	2816

Merchant Lists
'41013', 'Cizzar_J`Axx', 'Song: Selo\'s Accelerando', '41013', '16', '15717', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Refractory Adamantite', '41093', '19', '34458', '-1100', '0', '0', '65535', '100', '0', '99'
'41093', 'Trista_N`Ryt', 'Repairing and Salvaging Armor', '41093', '20', '75853', '-1100', '0', '0', '65535', '100', '0', '99'

'41090', 'Zartox_Ru`Soe', 'Bracelet Mold', '41090', '1', '37799', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Delicate Gem Glue Solvent', '41090', '2', '37958', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Dragon Rune Sketch', '41090', '3', '35960', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Earring Mold', '41090', '4', '37800', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Embossing Sketch', '41090', '6', '35957', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Fine Sand', '41090', '7', '95836', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Fire Opal', '41090', '9', '10031', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Gold Embossing', '41090', '11', '35958', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Grinding Powder', '41090', '12', '95837', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Half-Moon Cut Earring Jewelry Mold', '41090', '13', '95815', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Half-Moon Cut Pendant Jewelry Mold', '41090', '14', '95822', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Half-Moon Cut Ring Jewelry Mold', '41090', '15', '95808', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Large Gem Glue Solvent', '41090', '17', '37957', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Legacy of Jewel Craft', '41090', '18', '18926', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Marquise Cut Earring Jewelry Mold', '41090', '19', '95818', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Marquise Cut Pendant Jewelry Mold', '41090', '20', '95825', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Marquise Cut Ring Jewelry Mold', '41090', '21', '95811', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Oval Cut Earring Jewelry Mold', '41090', '22', '95814', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Oval Cut Pendant Jewelry Mold', '41090', '23', '95821', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Oval Cut Ring Jewelry Mold', '41090', '24', '95807', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Pear Cut Earring Jewelry Mold', '41090', '25', '95817', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Pear Cut Pendant Jewelry Mold', '41090', '26', '95824', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Pear Cut Ring Jewelry Mold', '41090', '27', '95810', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Pendant Mold', '41090', '28', '37801', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Platinum Embossing', '41090', '30', '35959', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Ring Mold', '41090', '31', '37798', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Round Cut Earring Jewelry Mold', '41090', '32', '95813', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Round Cut Pendant Jewelry Mold', '41090', '33', '95820', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Round Cut Ring Jewelry Mold', '41090', '34', '95806', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Small Gem Glue Solvent', '41090', '36', '37956', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Solo Setting Tool', '41090', '37', '37803', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Square Cut Earring Jewelry Mold', '41090', '38', '95812', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Square Cut Pendant Jewelry Mold', '41090', '39', '95819', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Square Cut Ring Jewelry Mold', '41090', '40', '95805', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Square Cut Tool', '41090', '41', '95826', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'The Basics of Jewelcrafting', '41090', '43', '36439', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Trilion Cut Earring Jewelry Mold', '41090', '44', '95816', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Trilion Cut Pendant Jewelry Mold', '41090', '45', '95823', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Trilion Cut Ring Jewelry Mold', '41090', '46', '95809', '-1100', '0', '0', '65535', '100', '0', '99'
'41090', 'Zartox_Ru`Soe', 'Veil Mold', '41090', '47', '37802', '-1100', '0', '0', '65535', '100', '0', '99'
