Remove spawn entry 42104, make 42087 100% spawn chance
'42104', 'Kristiana_N`Ryt', '', '999999', '7581', '1', '50', '10413'
'42087', 'Krystiana_N`Ryt', 'Smithing Supplies', '42087', '7581', '1', '50', '10413'

Merchant Lists
'42023', 'Camor_V`Retta', 'Malachite', '42023', '15', '10015', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Faceguard Template Pattern', '42086', '21', '34523', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Gloves Template Pattern', '42086', '23', '34531', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Legplates Template Pattern', '42086', '24', '34532', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Chainmail Spaulders Template Pattern', '42086', '30', '34526', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Crude Adamantite', '42086', '33', '34362', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Crude Coal', '42086', '34', '34467', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Dark Brown Coal', '42086', '35', '34474', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Ductile Adamantite', '42086', '36', '34410', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Dull Black Coal', '42086', '37', '34472', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Fair Adamantite', '42086', '38', '34378', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Indurate Adamantite', '42086', '39', '34442', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Lustrous Black Coal', '42086', '41', '34476', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Malleable Adamantite', '42086', '42', '34394', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Metal Tempering Chemicals', '42086', '43', '34546', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Natural Coal', '42086', '44', '34468', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Nitrous Coal', '42086', '45', '34471', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Ossified Adamantite', '42086', '46', '34426', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Belt Template Mold', '42086', '47', '34540', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Boot Template Mold', '42086', '48', '34545', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Bracer Template Mold', '42086', '49', '34542', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Cloak Template Mold', '42086', '50', '34539', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Gauntlet Template Mold', '42086', '51', '34543', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Gorget Template Mold', '42086', '52', '34536', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Greaves Template Mold', '42086', '53', '34544', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Helm Template Mold', '42086', '54', '34534', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Pauldron Template Mold', '42086', '55', '34538', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Vambrace Template Mold', '42086', '56', '34541', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Plate Visor Template Mold', '42086', '57', '34535', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Refractory Adamantite', '42086', '58', '34458', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Sulfurous Coal', '42086', '61', '34469', '-1100', '0', '0', '65535', '100', '0', '99'
'42086', 'Draan_N`Ryt', 'Toluene Coal', '42086', '63', '34477', '-1100', '0', '0', '65535', '100', '0', '99'

RoK
'42089', 'Dvis_Zexus', 'Tiny Jade Inlaid Coffin', '42089', '3', '9962', '-1100', '0', '0', '65535', '100', '0', '99'

'42031', 'Friz_Punox', 'Blessed Water of Innoruuk', '42031', '20', '81826', '-1100', '0', '0', '65535', '100', '0', '99'

'42071', 'Jerris_W`Selo', 'Blessed Water of Bristlebane', '42071', '4', '81833', '-1100', '0', '0', '65535', '100', '0', '99'
'42071', 'Jerris_W`Selo', 'Blessed Water of Innoruuk', '42071', '5', '81826', '-1100', '0', '0', '65535', '100', '0', '99'
'42071', 'Jerris_W`Selo', 'Silent Weapons of the Black Mask', '42071', '15', '18182', '-1100', '0', '0', '65535', '100', '0', '99'
'42071', 'Jerris_W`Selo', 'Water of the Skeptic', '42071', '18', '81837', '-1100', '0', '0', '65535', '100', '0', '99'

'42075', 'Kanthu_M`Rekkor', 'Blessed Water of Bristlebane', '42075', '4', '81833', '-1100', '0', '0', '65535', '100', '0', '99'
'42075', 'Kanthu_M`Rekkor', 'Blessed Water of Innoruuk', '42075', '5', '81826', '-1100', '0', '0', '65535', '100', '0', '99'
'42075', 'Kanthu_M`Rekkor', 'Silent Weapons of the Black Mask', '42075', '15', '18182', '-1100', '0', '0', '65535', '100', '0', '99'
'42075', 'Kanthu_M`Rekkor', 'Water of the Skeptic', '42075', '18', '81837', '-1100', '0', '0', '65535', '100', '0', '99'

'42014', 'Medron_Y`Lask', 'Crude Filament', '42014', '4', '34482', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Fiber Filament', '42014', '5', '34487', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Fine Filament', '42014', '6', '34491', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Belt Template Pattern', '42014', '10', '34516', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Boots Template Pattern', '42014', '11', '34521', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Cloak Template Pattern', '42014', '12', '34515', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Gloves Template Pattern', '42014', '13', '34519', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Gorget Template Pattern', '42014', '14', '34512', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Leggings Template Pattern', '42014', '15', '34520', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Mask Template Pattern', '42014', '16', '34511', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Shoulderpads Template Pattern', '42014', '17', '34514', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Skullcap Template Pattern', '42014', '18', '34510', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Sleeves Template Pattern', '42014', '19', '34517', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Tunic Template Pattern', '42014', '20', '34513', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Leather Wristbands Template Pattern', '42014', '21', '34518', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Mythical Filament', '42014', '22', '34494', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Plain Filament', '42014', '24', '34483', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Belt Template Pattern', '42014', '25', '34504', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Boot Template Pattern', '42014', '26', '34509', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Cap Template Pattern', '42014', '27', '34497', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Cloak Template Pattern', '42014', '28', '34503', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Curing Chemicals', '42014', '29', '34548', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Filament', '42014', '30', '34492', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Glove Template Pattern', '42014', '31', '34507', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Gorget Template Pattern', '42014', '32', '34499', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Mask Template Pattern', '42014', '33', '34498', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Pant Template Pattern', '42014', '34', '34508', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Robe Template Pattern', '42014', '35', '34501', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Shoulderpad Template Pattern', '42014', '36', '34502', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Sleeve Template Pattern', '42014', '37', '34505', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Tunic Template Pattern', '42014', '38', '34500', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Silk Wristband Template Pattern', '42014', '39', '34506', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Simple Sewing Needle', '42014', '40', '34914', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Soft Filament', '42014', '55', '34490', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Strand Filament', '42014', '56', '34493', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'String Filament', '42014', '57', '34488', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Tanning Chemicals', '42014', '58', '34547', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Thread Filament', '42014', '59', '34485', '-1100', '0', '0', '65535', '100', '0', '99'
'42014', 'Medron_Y`Lask', 'Twisted Filament', '42014', '61', '34484', '-1100', '0', '0', '65535', '100', '0', '99'

'42027', 'Misal_S`Kor', 'Spell: Endure Disease', '42027', '3', '15226', '-1100', '0', '0', '65535', '100', '0', '99'
'42027', 'Misal_S`Kor', 'Spell: Lesser Summon Corpse', '42027', '20', '28216', '-1100', '0', '0', '65535', '100', '0', '99'
'42108', 'Misal_S`Kor', 'Spell: Endure Disease', '42027', '3', '15226', '-1100', '0', '0', '65535', '100', '0', '99'
'42108', 'Misal_S`Kor', 'Spell: Lesser Summon Corpse', '42027', '20', '28216', '-1100', '0', '0', '65535', '100', '0', '99'

'42029', 'Myris_N`Tan', 'Spell: Reanimation', '42029', '3', '23480', '-1100', '0', '0', '65535', '100', '0', '99'
'42029', 'Myris_N`Tan', 'Spell: Reconstitute', '42029', '4', '23481', '-1100', '0', '0', '65535', '100', '0', '99'
'42029', 'Myris_N`Tan', 'Spell: Renewal', '42029', '5', '23483', '-1100', '0', '0', '65535', '100', '0', '99'
'42029', 'Myris_N`Tan', 'Spell: Reparation', '42029', '6', '23482', '-1100', '0', '0', '65535', '100', '0', '99'
'42029', 'Myris_N`Tan', 'Spell: Restoration', '42029', '7', '23484', '-1100', '0', '0', '65535', '100', '0', '99'

'42088', 'Petra_D`Dbth', 'Grimling Template', '42088', '23', '92976', '-1100', '0', '0', '65535', '100', '0', '99'
'42088', 'Petra_D`Dbth', 'Shissar Template', '42088', '22', '92975', '-1100', '0', '0', '65535', '100', '0', '99'
'42088', 'Petra_D`Dbth', 'Small Grease Jar Sketch', '42088', '20', '21349', '-1100', '0', '0', '65535', '100', '0', '99'
'42088', 'Petra_D`Dbth', 'Sonic Wolf Template', '42088', '24', '92977', '-1100', '0', '0', '65535', '100', '0', '99'
'42088', 'Petra_D`Dbth', 'Vah Shir Template', '42088', '21', '92974', '-1100', '0', '0', '65535', '100', '0', '99'

'42055', 'Telnor_D`Unnar', 'Bracelet Mold', '42055', '3', '37799', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Cat\'s Eye Agate', '42055', '5', '10026', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Delicate Gem Glue Solvent', '42055', '6', '37958', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Dragon Rune Sketch', '42055', '7', '35960', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Earring Mold', '42055', '8', '37800', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Embossing Sketch', '42055', '9', '35957', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Fine Sand', '42055', '11', '95836', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Gold Embossing', '42055', '12', '35958', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Grinding Powder', '42055', '13', '95837', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Half-Moon Cut Earring Jewelry Mold', '42055', '14', '95815', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Half-Moon Cut Pendant Jewelry Mold', '42055', '15', '95822', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Half-Moon Cut Ring Jewelry Mold', '42055', '16', '95808', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Large Gem Glue Solvent', '42055', '22', '37957', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Marquise Cut Earring Jewelry Mold', '42055', '25', '95818', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Marquise Cut Pendant Jewelry Mold', '42055', '26', '95825', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Marquise Cut Ring Jewelry Mold', '42055', '27', '95811', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Oval Cut Earring Jewelry Mold', '42055', '30', '95814', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Oval Cut Pendant Jewelry Mold', '42055', '31', '95821', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Oval Cut Ring Jewelry Mold', '42055', '32', '95807', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Pear Cut Earring Jewelry Mold', '42055', '33', '95817', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Pear Cut Pendant Jewelry Mold', '42055', '34', '95824', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Pear Cut Ring Jewelry Mold', '42055', '35', '95810', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Pendant Mold', '42055', '37', '37801', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Platinum Embossing', '42055', '39', '35959', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Ring Mold', '42055', '40', '37798', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Round Cut Earring Jewelry Mold', '42055', '41', '95813', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Round Cut Pendant Jewelry Mold', '42055', '42', '95820', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Round Cut Ring Jewelry Mold', '42055', '43', '95806', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Small Gem Glue Solvent', '42055', '45', '37956', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Solo Setting Tool', '42055', '46', '37803', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Square Cut Earring Jewelry Mold', '42055', '47', '95812', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Square Cut Pendant Jewelry Mold', '42055', '48', '95819', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Square Cut Ring Jewelry Mold', '42055', '49', '95805', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Square Cut Tool', '42055', '50', '95826', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'The Basics of Jewelcrafting', '42055', '52', '36439', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Trilion Cut Earring Jewelry Mold', '42055', '54', '95816', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Trilion Cut Pendant Jewelry Mold', '42055', '55', '95823', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Trilion Cut Ring Jewelry Mold', '42055', '56', '95809', '-1100', '0', '0', '65535', '100', '0', '99'
'42055', 'Telnor_D`Unnar', 'Veil Mold', '42055', '58', '37802', '-1100', '0', '0', '65535', '100', '0', '99'
