Spawns
'49089', 'Brogdog', 'Beastlord Spells', '49089', '7608', '1', '100', '10522'
'49024', 'Gralbug', 'Smithing Supplies', '49024', '3433', '1', '100', '10457'
'49073', 'Klob_Pulp', 'Town Crier', '49073', '7592', '1', '100', '10506'
'49125', 'Kulver', '', '999999', '7615', '1', '100', '10528'
'49085', 'Murak', '', '413032', '7604', '1', '100', '10518'
'49081', 'Rognok', 'Beastlord Spells', '49081', '7600', '1', '100', '10514'
'49091', 'Sheerie_Oglarum', 'Berserker Tomes', '49091', '7610', '1', '100', '10524'

Merchant Lists
'49061', 'Brokk_Boxtripper', 'Black Ceremonial Coffin', '49061', '3', '28880', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Leather Wristbands Template Pattern', '49077', '30', '34518', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Malleable Cold Iron Thread', '49077', '31', '34284', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Mythical Filament', '49077', '33', '34494', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Ossified Cold Iron Thread', '49077', '34', '34314', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Plain Filament', '49077', '36', '34483', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Reel of Adamantite Thread', '49077', '38', '38398', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Refractory Cold Iron Thread', '49077', '39', '34344', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Belt Template Pattern', '49077', '42', '34504', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Boot Template Pattern', '49077', '43', '34509', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Cap Template Pattern', '49077', '44', '34497', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Cloak Template Pattern', '49077', '45', '34503', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Curing Chemicals', '49077', '46', '34548', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Filament', '49077', '47', '34492', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Glove Template Pattern', '49077', '48', '34507', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Gorget Template Pattern', '49077', '49', '34499', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Mask Template Pattern', '49077', '50', '34498', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Pant Template Pattern', '49077', '51', '34508', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Robe Template Pattern', '49077', '52', '34501', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Shoulderpad Template Pattern', '49077', '53', '34502', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Sleeve Template Pattern', '49077', '54', '34505', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Tunic Template Pattern', '49077', '55', '34500', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Silk Wristband Template Pattern', '49077', '56', '34506', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Simple Sewing Needle', '49077', '57', '34914', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Small Spool of Adamantite Thread', '49077', '59', '38396', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Soft Filament', '49077', '60', '34490', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Strand Filament', '49077', '61', '34493', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'String Filament', '49077', '62', '34488', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Tanning Chemicals', '49077', '63', '34547', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Thread Filament', '49077', '64', '34485', '-1100', '0', '0', '65535', '100', '0', '99'
'49077', 'Gretamog', 'Twisted Filament', '49077', '66', '34484', '-1100', '0', '0', '65535', '100', '0', '99'

'49078', 'Helgara_Dirtcarver', 'Advanced Formed Potion Vial Sketch', '49078', '29', '96903', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Advanced Friable Potion Vial Sketch', '49078', '20', '96894', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Advanced Shaped Potion Vial Sketch', '49078', '26', '96900', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Advanced Worked Potion Vial Sketch', '49078', '23', '96897', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Formed Potion Vial Sketch', '49078', '28', '96902', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Formed Rune Sketch', '49078', '32', '96906', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Friable Potion Vial Sketch', '49078', '19', '96893', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Further Energeiac Discoveries', '49078', '17', '41241', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Gem Powder', '49078', '30', '96904', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Rune Sketch', '49078', '31', '96905', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Shaped Potion Vial Sketch', '49078', '25', '96899', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Simple Formed Potion Vial Sketch', '49078', '27', '96901', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Simple Friable Potion Vial Sketch', '49078', '18', '96892', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Simple Shaped Potion Vial Sketch', '49078', '24', '96898', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Simple Worked Potion Vial Sketch', '49078', '21', '96895', '-1100', '0', '0', '65535', '100', '0', '99'
'49078', 'Helgara_Dirtcarver', 'Worked Potion Vial Sketch', '49078', '22', '96896', '-1100', '0', '0', '65535', '100', '0', '99'

'49068', 'Juk_Hidebeater', 'Cord Filament', '49068', '3', '34486', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Crude Filament', '49068', '4', '34482', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Fiber Filament', '49068', '5', '34487', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Fine Filament', '49068', '6', '34491', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Belt Template Pattern', '49068', '21', '34516', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Boots Template Pattern', '49068', '22', '34521', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Cloak Template Pattern', '49068', '23', '34515', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Gloves Template Pattern', '49068', '24', '34519', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Gorget Template Pattern', '49068', '25', '34512', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Leggings Template Pattern', '49068', '26', '34520', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Mask Template Pattern', '49068', '27', '34511', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Shoulderpads Template Pattern', '49068', '28', '34514', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Skullcap Template Pattern', '49068', '29', '34510', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Sleeves Template Pattern', '49068', '30', '34517', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Tunic Template Pattern', '49068', '31', '34513', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Leather Wristbands Template Pattern', '49068', '32', '34518', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Mythical Filament', '49068', '33', '34494', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Plain Filament', '49068', '35', '34483', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Belt Template Pattern', '49068', '36', '34504', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Boot Template Pattern', '49068', '37', '34509', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Cap Template Pattern', '49068', '38', '34497', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Cloak Template Pattern', '49068', '39', '34503', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Curing Chemicals', '49068', '40', '34548', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Filament', '49068', '41', '34492', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Glove Template Pattern', '49068', '42', '34507', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Gorget Template Pattern', '49068', '43', '34499', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Mask Template Pattern', '49068', '44', '34498', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Pant Template Pattern', '49068', '45', '34508', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Robe Template Pattern', '49068', '46', '34501', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Shoulderpad Template Pattern', '49068', '47', '34502', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Sleeve Template Pattern', '49068', '48', '34505', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Tunic Template Pattern', '49068', '49', '34500', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Silk Wristband Template Pattern', '49068', '50', '34506', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Simple Sewing Needle', '49068', '51', '34914', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Soft Filament', '49068', '54', '34490', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Strand Filament', '49068', '55', '34493', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'String Filament', '49068', '56', '34488', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Tanning Chemicals', '49068', '57', '34547', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Thread Filament', '49068', '58', '34485', '-1100', '0', '0', '65535', '100', '0', '99'
'49068', 'Juk_Hidebeater', 'Twisted Filament', '49068', '60', '34484', '-1100', '0', '0', '65535', '100', '0', '99'

'49079', 'Kerplooe_Dirtcarver', 'Grimling Template', '49079', '23', '92976', '-1100', '0', '0', '65535', '100', '0', '99'
'49079', 'Kerplooe_Dirtcarver', 'Shissar Template', '49079', '22', '92975', '-1100', '0', '0', '65535', '100', '0', '99'
'49079', 'Kerplooe_Dirtcarver', 'Small Grease Jar Sketch', '49079', '20', '21349', '-1100', '0', '0', '65535', '100', '0', '99'
'49079', 'Kerplooe_Dirtcarver', 'Sonic Wolf Template', '49079', '24', '92977', '-1100', '0', '0', '65535', '100', '0', '99'
'49079', 'Kerplooe_Dirtcarver', 'Vah Shir Template', '49079', '21', '92974', '-1100', '0', '0', '65535', '100', '0', '99'

'49029', 'Korff', 'Spell: Extinguish Fatigue', '52090', '6', '15417', '-1100', '0', '0', '65535', '100', '0', '99'

'49076', 'Korgarg_Swillchugger', 'Deep Fungus Mold', '49076', '4', '67393', '-1100', '0', '0', '65535', '100', '0', '99'
'49076', 'Korgarg_Swillchugger', 'Distilled Spirits', '49076', '5', '67394', '-1100', '0', '0', '65535', '100', '0', '99'
'49076', 'Korgarg_Swillchugger', 'Unusual Wine and Ale - Part 1', '49076', '12', '75847', '-1100', '0', '0', '65535', '100', '0', '99'
'49076', 'Korgarg_Swillchugger', 'Unusual Wine and Ale - Part 2', '49076', '13', '75848', '-1100', '0', '0', '65535', '100', '0', '99'

'49088', 'Pordopa', 'Black Gold Ingot', '49088', '1', '72099', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Buffing Sheets', '49088', '3', '72166', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Dihedral Burin', '49088', '8', '72087', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Fine Hydroabrasive', '49088', '13', '72168', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Hydroabrasive', '49088', '16', '72167', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Aggression', '49088', '20', '72169', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Alacrity', '49088', '21', '72171', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Battle', '49088', '22', '72181', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Celerity', '49088', '23', '72172', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Dexterity', '49088', '24', '72179', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Efficiency', '49088', '25', '72173', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Extension', '49088', '26', '72176', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Ferocity', '49088', '27', '72183', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Haste', '49088', '28', '72178', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Healing', '49088', '29', '72175', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Potency', '49088', '30', '72174', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Quickness', '49088', '31', '72170', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Sight', '49088', '32', '72182', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Sundering', '49088', '33', '72180', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mark of Virility', '49088', '34', '72177', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Mastic', '49088', '35', '72165', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Open Letter - Part 1', '49088', '40', '75850', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Open Letter - Part 2', '49088', '41', '75851', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'Rosin', '49088', '42', '72164', '-1100', '0', '0', '65535', '100', '0', '99'
'49088', 'Pordopa', 'White Gold Ingot', '49088', '45', '72098', '-1100', '0', '0', '65535', '100', '0', '99'

'49053', 'Puglala', 'Anthracite Coal', '49053', '1', '34478', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Bituminous Coal', '49053', '2', '34479', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Black Nitrous Coal', '49053', '3', '34475', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Block of Adamantite', '49053', '4', '10486', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Breastplate Template Mold', '49053', '5', '34537', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Brimstone Coal', '49053', '6', '34480', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Brown Coal', '49053', '7', '34470', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Brown Nitrous Coal', '49053', '8', '34473', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Arms Template Pattern', '49053', '9', '34529', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Belt Template Pattern', '49053', '10', '34528', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Boots Template Pattern', '49053', '11', '34533', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Bracer Template Pattern', '49053', '12', '34530', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Chestguard Template Pattern', '49053', '13', '34525', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Cloak Template Pattern', '49053', '14', '34527', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Coif Template Pattern', '49053', '15', '34522', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Collar Template Pattern', '49053', '16', '34524', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Faceguard Template Pattern', '49053', '17', '34523', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Gloves Template Pattern', '49053', '18', '34531', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Legplates Template Pattern', '49053', '19', '34532', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Chainmail Spaulders Template Pattern', '49053', '20', '34526', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Compacted Backpack', '49053', '21', '81692', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Crude Coal', '49053', '22', '34467', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Crude Cold Iron', '49053', '23', '34360', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Dark Brown Coal', '49053', '24', '34474', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Ductile Cold Iron', '49053', '25', '34408', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Dull Black Coal', '49053', '26', '34472', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Fair Cold Iron', '49053', '27', '34376', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Huge Block of Clay', '49053', '28', '38340', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Huge Block of Good Quality Red Clay', '49053', '29', '38342', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Huge Block of High Quality Red Clay', '49053', '30', '38343', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Huge Block of Red Clay', '49053', '31', '38341', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Huge Block of Superb Red Clay', '49053', '32', '38344', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Indurate Cold Iron', '49053', '33', '34440', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Large Brick of Adamantite', '49053', '34', '10475', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Lustrous Black Coal', '49053', '47', '34476', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Malleable Cold Iron', '49053', '48', '34392', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Metal Tempering Chemicals', '49053', '49', '34546', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Natural Coal', '49053', '50', '34468', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Nitrous Coal', '49053', '51', '34471', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Ossified Cold Iron', '49053', '53', '34424', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Belt Template Mold', '49053', '54', '34540', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Boot Template Mold', '49053', '55', '34545', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Bracer Template Mold', '49053', '56', '34542', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Cloak Template Mold', '49053', '57', '34539', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Gauntlet Template Mold', '49053', '58', '34543', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Gorget Template Mold', '49053', '59', '34536', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Greaves Template Mold', '49053', '60', '34544', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Helm Template Mold', '49053', '61', '34534', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Pauldron Template Mold', '49053', '62', '34538', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Vambrace Template Mold', '49053', '63', '34541', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Plate Visor Template Mold', '49053', '64', '34535', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Refractory Cold Iron', '49053', '65', '34456', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Small Brick of Adamantite', '49053', '66', '10485', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Sulfurous Coal', '49053', '67', '34469', '-1100', '0', '0', '65535', '100', '0', '99'
'49053', 'Puglala', 'Toluene Coal', '49053', '68', '34477', '-1100', '0', '0', '65535', '100', '0', '99'

'49070', 'Rora_Dirtstamp', 'Letters of Jonas Vol. 1', '49070', '9', '18131', '-1100', '0', '0', '65535', '100', '0', '99'
'49070', 'Rora_Dirtstamp', 'Letters of Jonas Vol. 2', '49070', '10', '18132', '-1100', '0', '0', '65535', '100', '0', '99'
